Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2012,8,Oregon,3,7-0,43,Away,Arizona State,99,5-2,21,Home
2012,8,Alabama,1,7-0,44,Away,Tennessee,99,3-4,13,Home
2012,8,South Carolina,7,6-2,11,Away,Florida,2,7-0,44,Home
2012,8,Kansas State,4,7-0,55,Away,West Virginia,13,5-2,14,Home
2012,8,BYU,99,4-4,14,Away,Notre Dame,5,7-0,17,Home
2012,8,LSU,6,7-1,24,Away,Texas A&M,18,5-2,19,Home
2012,8,Utah,99,2-5,7,Away,Oregon State,8,6-0,21,Home
2012,8,Kansas,99,1-6,7,Away,Oklahoma,9,5-1,52,Home
2012,8,Colorado,99,1-6,6,Away,USC,10,6-1,50,Home
2012,8,Georgia,11,6-1,29,Away,Kentucky,99,1-7,24,Home
2012,8,Middle Tennessee,99,4-3,3,Away,Mississippi State,12,7-0,45,Home
2012,8,Florida State,14,7-1,33,Away,Miami,99,4-4,20,Home
2012,8,Rutgers,15,7-0,35,Away,Temple,99,3-3,10,Home
2012,8,South Florida,99,2-5,25,Away,Louisville,16,7-0,27,Home
2012,8,Texas Tech,17,6-1,56,Away,TCU,23,5-2,53,Home
2012,8,Virginia Tech,99,4-4,17,Away,Clemson,19,6-1,38,Home
2012,8,Stanford,20,5-2,21,Away,California,99,3-5,3,Home
2012,8,Cincinnati,21,5-1,23,Away,Toledo,99,7-1,29,Home
2012,8,UNLV,99,1-7,7,Away,Boise State,22,6-1,32,Home
2012,8,Iowa State,24,4-3,10,Away,Oklahoma State,99,4-2,31,Home
2012,8,Baylor,99,3-3,50,Away,Texas,25,5-2,56,Home
