Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2013,15,Louisville,19,11-1,31,Away,Cincinnati,99,9-3,24,Home
2013,15,Bowling Green,99,10-3,47,Away,Northern Illinois,14,12-1,27,Home
2013,15,Duke,20,10-3,7,Away,Florida State,1,13-0,45,Home
2013,15,Ohio State,2,12-1,24,Away,Michigan State,10,12-1,34,Home
2013,15,Missouri,5,11-2,42,Away,Auburn,3,12-1,59,Home
2013,15,Oklahoma,17,10-2,33,Away,Oklahoma State,6,10-2,24,Home
2013,15,Stanford,7,11-2,38,Away,Arizona State,11,10-3,14,Home
2013,15,Texas,25,8-4,10,Away,Baylor,9,11-1,30,Home
2013,15,UCF,16,11-1,17,Away,SMU,99,5-7,13,Home
2013,15,Utah State,99,8-5,17,Away,Fresno State,23,11-1,24,Home
