Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2009,8,Florida,1,7-0,29,Away,Mississippi State,99,3-5,19,Home
2009,8,Tennessee,99,3-4,10,Away,Alabama,2,8-0,12,Home
2009,8,Texas,3,7-0,41,Away,Missouri,99,4-3,7,Home
2009,8,Boise State,4,7-0,54,Away,Hawaii,99,2-5,9,Home
2009,8,Louisville,99,2-5,10,Away,Cincinnati,5,7-0,41,Home
2009,8,Iowa,6,8-0,15,Away,Michigan State,99,4-4,13,Home
2009,8,Oregon State,99,4-3,36,Away,USC,7,6-1,42,Home
2009,8,TCU,8,7-0,38,Away,BYU,16,6-2,7,Home
2009,8,Auburn,99,5-3,10,Away,LSU,9,6-1,31,Home
2009,8,Clemson,99,4-3,40,Away,Miami,10,5-2,37,Home
2009,8,Oregon,11,6-1,43,Away,Washington,99,3-5,19,Home
2009,8,Georgia Tech,12,7-1,34,Away,Virginia,99,3-4,9,Home
2009,8,Penn State,13,7-1,35,Away,Michigan,99,5-3,10,Home
2009,8,Oklahoma State,15,6-1,34,Away,Baylor,99,3-4,7,Home
2009,8,SMU,99,3-4,15,Away,Houston,17,6-1,38,Home
2009,8,Air Force,99,4-4,16,Away,Utah,18,6-1,23,Home
2009,8,Minnesota,99,4-4,7,Away,Ohio State,19,6-2,38,Home
2009,8,South Florida,99,5-2,14,Away,Pittsburgh,20,7-1,41,Home
2009,8,UCLA,99,3-4,13,Away,Arizona,22,5-2,27,Home
2009,8,Connecticut,99,4-3,24,Away,West Virginia,23,6-1,28,Home
2009,8,Vanderbilt,99,2-6,10,Away,South Carolina,24,6-2,14,Home
2009,8,Oklahoma,99,4-3,35,Away,Kansas,25,5-2,13,Home
