Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2011,14,West Virginia,23,9-3,30,Away,South Florida,99,5-7,27,Home
2011,14,UCLA,99,6-7,31,Away,Oregon,5,11-2,49,Home
2011,14,Georgia,16,10-3,10,Away,LSU,1,13-0,42,Home
2011,14,Oklahoma,14,9-3,10,Away,Oklahoma State,3,11-1,44,Home
2011,14,New Mexico,99,1-11,0,Away,Boise State,7,11-1,45,Home
2011,14,Iowa State,99,6-6,23,Away,Kansas State,8,10-2,30,Home
2011,14,Wisconsin,10,11-2,42,Away,Michigan State,17,10-3,39,Home
2011,14,Virginia Tech,11,11-2,10,Away,Clemson,15,10-3,38,Home
2011,14,Texas,24,7-5,24,Away,Baylor,12,9-3,48,Home
2011,14,UNLV,99,2-10,9,Away,TCU,18,10-2,56,Home
2011,14,Southern Mississippi,21,11-2,49,Away,Houston,19,12-1,28,Home
