Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2007,1,LSU,2,1-0,45,Away,Mississippi State,99,0-1,0,Home
2007,1,Murray State,99,0-1,10,Away,Louisville,10,1-0,73,Home
2007,1,Buffalo,99,0-1,3,Away,Rutgers,16,1-0,38,Home
2007,1,Weber State,99,0-1,7,Away,Boise State,24,1-0,56,Home
2007,1,Idaho,99,0-1,10,Away,USC,1,1-0,38,Home
2007,1,Western Michigan,99,0-1,24,Away,West Virginia,3,1-0,62,Home
2007,1,Arkansas State,99,0-1,13,Away,Texas,4,1-0,21,Home
2007,1,Appalachian State,99,1-0,34,Away,Michigan,5,0-1,32,Home
2007,1,Western Kentucky,99,0-1,3,Away,Florida,6,1-0,49,Home
2007,1,Washington State,99,0-1,21,Away,Wisconsin,7,1-0,42,Home
2007,1,North Texas,99,0-1,10,Away,Oklahoma,8,1-0,79,Home
2007,1,East Carolina,99,0-1,7,Away,Virginia Tech,9,1-0,17,Home
2007,1,Youngstown State,99,0-1,6,Away,Ohio State,11,1-0,38,Home
2007,1,Tennessee,15,0-1,31,Away,California,12,1-0,45,Home
2007,1,Oklahoma State,99,0-1,14,Away,Georgia,13,1-0,35,Home
2007,1,UCLA,14,1-0,45,Away,Stanford,99,0-1,17,Home
2007,1,Florida Intl,99,0-1,0,Away,Penn State,17,1-0,59,Home
2007,1,Kansas State,99,0-1,13,Away,Auburn,18,1-0,23,Home
2007,1,Nevada,99,0-1,10,Away,Nebraska,20,1-0,52,Home
2007,1,Troy,99,0-1,26,Away,Arkansas,21,1-0,46,Home
2007,1,Baylor,99,0-1,0,Away,TCU,22,1-0,27,Home
2007,1,Montana State,99,0-1,7,Away,Texas A&M,25,1-0,38,Home
2007,1,Northern Colorado,99,0-1,6,Away,Hawaii,23,1-0,63,Home
2007,1,Florida State,19,0-1,18,Away,Clemson,99,1-0,24,Home
