Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2006,3,Maryland,99,2-1,24,Away,West Virginia,5,3-0,45,Home
2006,3,Cincinnati,99,1-2,7,Away,Ohio State,1,3-0,37,Home
2006,3,Michigan,11,3-0,47,Away,Notre Dame,2,2-1,21,Home
2006,3,LSU,6,2-1,3,Away,Auburn,3,3-0,7,Home
2006,3,Nebraska,19,2-1,10,Away,USC,4,2-0,28,Home
2006,3,Florida,7,3-0,21,Away,Tennessee,13,2-1,20,Home
2006,3,Texas,8,2-1,52,Away,Rice,99,0-3,7,Home
2006,3,Clemson,99,2-1,27,Away,Florida State,9,2-1,20,Home
2006,3,UAB,99,1-2,0,Away,Georgia,10,3-0,34,Home
2006,3,Miami,17,1-2,7,Away,Louisville,12,3-0,31,Home
2006,3,Duke,99,0-3,0,Away,Virginia Tech,14,3-0,36,Home
2006,3,Oklahoma,15,2-1,33,Away,Oregon,18,3-0,34,Home
2006,3,Iowa State,99,2-1,17,Away,Iowa,16,3-0,27,Home
2006,3,Texas Tech,24,2-1,3,Away,TCU,20,3-0,12,Home
2006,3,Portland State,99,2-1,16,Away,California,21,2-1,42,Home
2006,3,Arizona State,22,3-0,21,Away,Colorado,99,0-3,3,Home
2006,3,BYU,99,1-2,23,Away,Boston College,23,3-0,30,Home
2006,3,Youngstown State,99,2-1,3,Away,Penn State,25,2-1,37,Home
