Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2017,8,Memphis,25,6-1,42,Away,Houston,99,4-3,38,Home
2017,8,Tennessee,99,3-4,7,Away,Alabama,1,8-0,45,Home
2017,8,Michigan,19,5-2,13,Away,Penn State,2,7-0,42,Home
2017,8,Kansas,99,1-6,0,Away,TCU,4,7-0,43,Home
2017,8,Maryland,99,3-4,13,Away,Wisconsin,5,7-0,38,Home
2017,8,Syracuse,99,4-4,19,Away,Miami,8,6-0,27,Home
2017,8,Oklahoma,9,6-1,42,Away,Kansas State,99,3-4,35,Home
2017,8,Oklahoma State,10,6-1,13,Away,Texas,99,3-4,10,Home
2017,8,USC,11,6-2,14,Away,Notre Dame,13,6-1,49,Home
2017,8,North Carolina,99,1-7,7,Away,Virginia Tech,14,6-1,59,Home
2017,8,Colorado,99,4-4,0,Away,Washington State,15,7-1,28,Home
2017,8,South Florida,16,7-0,34,Away,Tulane,99,3-4,28,Home
2017,8,Indiana,99,3-4,9,Away,Michigan State,18,6-1,17,Home
2017,8,UCF,20,6-0,31,Away,Navy,99,5-2,21,Home
2017,8,Auburn,21,6-2,52,Away,Arkansas,99,2-5,20,Home
2017,8,West Virginia,23,5-2,38,Away,Baylor,99,0-7,36,Home
2017,8,LSU,24,6-2,40,Away,Ole Miss,99,3-4,24,Home
