Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2004,9,Syracuse,99,3-4,6,Away,West Virginia,15,6-1,27,Home
2004,9,South Florida,99,2-4,9,Away,Louisville,15,5-1,41,Home
2004,9,Washington,99,1-6,0,Away,USC,1,7-0,38,Home
2004,9,Kansas,99,3-4,10,Away,Oklahoma,2,7-0,41,Home
2004,9,Kentucky,99,1-6,10,Away,Auburn,3,8-0,42,Home
2004,9,Miami,4,6-0,45,Away,NC State,99,4-3,31,Home
2004,9,Florida State,5,6-1,20,Away,Wake Forest,99,3-4,17,Home
2004,9,Northwestern,99,3-4,12,Away,Wisconsin,6,8-0,24,Home
2004,9,California,7,5-1,38,Away,Arizona,99,1-6,0,Home
2004,9,Texas,8,6-1,51,Away,Texas Tech,99,4-3,21,Home
2004,9,UNLV,99,2-6,28,Away,Utah,9,7-0,63,Home
2004,9,Georgia,10,6-1,20,Away,Arkansas,99,3-4,14,Home
2004,9,Alabama,99,5-3,13,Away,Tennessee,11,6-1,17,Home
2004,9,Michigan,13,7-1,16,Away,Purdue,12,5-2,14,Home
2004,9,Virginia,14,6-1,37,Away,Duke,99,1-6,16,Home
2004,9,Colorado,99,4-3,26,Away,Texas A&M,17,6-1,29,Home
2004,9,Troy,99,3-4,20,Away,LSU,18,5-2,24,Home
2004,9,Fresno State,99,3-3,16,Away,Boise State,19,7-0,33,Home
2004,9,Florida,20,4-3,31,Away,Mississippi State,99,2-5,38,Home
2004,9,UCLA,99,4-3,42,Away,Arizona State,21,6-1,48,Home
2004,9,Oklahoma State,22,6-1,20,Away,Missouri,99,4-3,17,Home
2004,9,Boston College,99,5-2,24,Away,Notre Dame,24,5-3,23,Home
2004,9,Iowa,25,5-2,6,Away,Penn State,99,2-5,4,Home
