Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2016,12,Louisville,5,9-2,10,Away,Houston,99,9-2,36,Home
2016,12,UNLV,99,4-7,25,Away,Boise State,20,10-1,42,Home
2016,12,Chattanooga,99,8-3,3,Away,Alabama,1,11-0,31,Home
2016,12,Ohio State,2,10-1,17,Away,Michigan State,99,3-8,16,Home
2016,12,Indiana,99,5-6,10,Away,Michigan,3,10-1,20,Home
2016,12,Clemson,4,10-1,35,Away,Wake Forest,99,6-5,13,Home
2016,12,Arizona State,99,5-6,18,Away,Washington,6,10-1,44,Home
2016,12,Wisconsin,7,9-2,49,Away,Purdue,99,3-8,20,Home
2016,12,Penn State,8,9-2,39,Away,Rutgers,99,2-9,0,Home
2016,12,Oklahoma,9,9-2,56,Away,West Virginia,14,8-2,28,Home
2016,12,Washington State,22,8-3,24,Away,Colorado,10,9-2,38,Home
2016,12,Oklahoma State,11,9-2,31,Away,TCU,99,5-5,6,Home
2016,12,Oregon,99,4-7,30,Away,Utah,12,8-3,28,Home
2016,12,USC,13,8-3,36,Away,UCLA,99,4-7,14,Home
2016,12,Alabama A&M,99,4-7,0,Away,Auburn,15,8-3,55,Home
2016,12,Florida,23,8-2,16,Away,LSU,16,6-4,10,Home
2016,12,Florida State,17,8-3,45,Away,Syracuse,99,4-7,14,Home
2016,12,Maryland,99,5-6,7,Away,Nebraska,18,9-2,28,Home
2016,12,Missouri,99,3-8,37,Away,Tennessee,19,8-3,63,Home
2016,12,Buffalo,99,2-9,0,Away,Western Michigan,21,11-0,38,Home
2016,12,Stanford,24,8-3,45,Away,California,99,4-7,31,Home
2016,12,Texas San Antonio,99,5-6,10,Away,Texas A&M,25,8-3,23,Home
