Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2015,2,Utah State,99,1-1,14,Away,Utah,24,2-0,24,Home
2015,2,Hawaii,99,1-1,0,Away,Ohio State,1,2-0,38,Home
2015,2,Middle Tennessee,99,1-1,10,Away,Alabama,2,2-0,37,Home
2015,2,Stephen F Austin,99,0-2,7,Away,TCU,3,2-0,70,Home
2015,2,Lamar,99,1-1,31,Away,Baylor,4,2-0,66,Home
2015,2,Oregon,7,1-1,28,Away,Michigan State,5,2-0,31,Home
2015,2,Jacksonville State,99,1-1,20,Away,Auburn,6,2-0,27,Home
2015,2,Idaho,99,0-2,9,Away,USC,8,2-0,59,Home
2015,2,Notre Dame,9,2-0,34,Away,Virginia,99,0-2,27,Home
2015,2,Georgia,10,2-0,31,Away,Vanderbilt,99,0-2,14,Home
2015,2,South Florida,99,1-1,14,Away,Florida State,11,2-0,34,Home
2015,2,Appalachian State,99,1-1,10,Away,Clemson,12,2-0,41,Home
2015,2,UCLA,13,2-0,37,Away,UNLV,99,0-2,3,Home
2015,2,LSU,14,1-0,21,Away,Mississippi State,25,1-1,19,Home
2015,2,Tulane,99,0-2,10,Away,Georgia Tech,15,2-0,65,Home
2015,2,Ball State,99,1-1,23,Away,Texas A&M,16,2-0,56,Home
2015,2,Fresno State,99,1-1,21,Away,Ole Miss,17,2-0,73,Home
2015,2,Toledo,99,1-0,16,Away,Arkansas,18,1-1,12,Home
2015,2,Oklahoma,19,2-0,31,Away,Tennessee,23,1-1,24,Home
2015,2,Boise State,20,1-1,24,Away,BYU,99,2-0,35,Home
2015,2,Missouri,21,2-0,27,Away,Arkansas State,99,0-2,20,Home
2015,2,Arizona,22,2-0,44,Away,Nevada,99,1-1,20,Home
