Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2006,10,Fresno State,99,1-7,21,Away,Boise State,14,9-0,45,Home
2006,10,West Virginia,3,7-1,34,Away,Louisville,5,8-0,44,Home
2006,10,Ohio State,1,10-0,17,Away,Illinois,99,2-8,10,Home
2006,10,Ball State,99,3-7,26,Away,Michigan,2,10-0,34,Home
2006,10,Oklahoma State,99,5-4,10,Away,Texas,4,9-1,36,Home
2006,10,Arkansas State,99,5-4,0,Away,Auburn,6,9-1,27,Home
2006,10,Florida,7,8-1,25,Away,Vanderbilt,99,4-6,19,Home
2006,10,LSU,13,7-2,28,Away,Tennessee,8,7-2,24,Home
2006,10,USC,9,7-1,42,Away,Stanford,99,0-9,0,Home
2006,10,UCLA,99,4-5,24,Away,California,10,8-1,38,Home
2006,10,North Carolina,99,1-8,26,Away,Notre Dame,11,8-1,45,Home
2006,10,Arkansas,12,8-1,26,Away,South Carolina,99,5-4,20,Home
2006,10,Boston College,16,7-2,14,Away,Wake Forest,22,8-1,21,Home
2006,10,Penn State,99,6-4,3,Away,Wisconsin,17,9-1,13,Home
2006,10,Oklahoma,18,7-2,17,Away,Texas A&M,21,8-2,16,Home
2006,10,Maryland,99,7-2,13,Away,Clemson,19,7-3,12,Home
2006,10,Georgia Tech,20,7-2,31,Away,NC State,99,3-6,23,Home
2006,10,Virginia Tech,23,7-2,17,Away,Miami,99,5-4,10,Home
2006,10,Washington,99,4-6,14,Away,Oregon,24,7-2,34,Home
2006,10,Arizona,99,4-5,27,Away,Washington State,25,6-4,17,Home
