Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2015,8,California,20,5-2,24,Away,UCLA,99,5-2,40,Home
2015,8,Temple,22,7-0,24,Away,East Carolina,99,4-4,14,Home
2015,8,Memphis,18,7-0,66,Away,Tulsa,99,3-4,42,Home
2015,8,Ohio State,1,8-0,49,Away,Rutgers,99,3-4,7,Home
2015,8,Iowa State,99,2-5,27,Away,Baylor,2,7-0,45,Home
2015,8,Utah,3,6-1,24,Away,USC,99,4-3,42,Home
2015,8,Western Kentucky,99,6-2,20,Away,LSU,5,7-0,48,Home
2015,8,Clemson,6,7-0,58,Away,Miami,99,4-3,0,Home
2015,8,Indiana,99,4-4,26,Away,Michigan State,7,8-0,52,Home
2015,8,Tennessee,99,3-4,14,Away,Alabama,8,7-1,19,Home
2015,8,Florida State,9,6-1,16,Away,Georgia Tech,99,3-5,22,Home
2015,8,Washington,99,3-4,14,Away,Stanford,10,6-1,31,Home
2015,8,Kansas,99,0-7,10,Away,Oklahoma State,14,7-0,58,Home
2015,8,Texas A&M,15,5-2,3,Away,Ole Miss,24,6-2,23,Home
2015,8,Texas Tech,99,5-3,27,Away,Oklahoma,17,6-1,63,Home
2015,8,Toledo,19,7-0,51,Away,Massachusetts,99,1-6,35,Home
2015,8,Houston,21,7-0,59,Away,UCF,99,0-8,10,Home
2015,8,Duke,23,6-1,45,Away,Virginia Tech,99,3-5,43,Home
2015,8,Pittsburgh,25,6-1,23,Away,Syracuse,99,3-4,20,Home
