Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2013,1,North Carolina,99,0-1,10,Away,South Carolina,6,1-0,27,Home
2013,1,USC,24,1-0,30,Away,Hawaii,99,0-1,13,Home
2013,1,Alabama,1,1-0,35,Away,Virginia Tech,99,0-1,10,Home
2013,1,Buffalo,99,0-1,20,Away,Ohio State,2,1-0,40,Home
2013,1,Nicholls State,99,0-1,3,Away,Oregon,3,1-0,66,Home
2013,1,Georgia,5,0-1,35,Away,Clemson,8,1-0,38,Home
2013,1,Rice,99,0-1,31,Away,Texas A&M,7,1-0,52,Home
2013,1,Toledo,99,0-1,6,Away,Florida,10,1-0,24,Home
2013,1,LSU,12,1-0,37,Away,TCU,20,0-1,27,Home
2013,1,Mississippi State,99,0-1,3,Away,Oklahoma State,13,1-0,21,Home
2013,1,Temple,99,0-1,6,Away,Notre Dame,14,1-0,28,Home
2013,1,New Mexico State,99,0-1,7,Away,Texas,15,1-0,56,Home
2013,1,Louisiana Monroe,99,0-1,0,Away,Oklahoma,16,1-0,34,Home
2013,1,Central Michigan,99,0-1,9,Away,Michigan,17,1-0,59,Home
2013,1,Wyoming,99,0-1,34,Away,Nebraska,18,1-0,37,Home
2013,1,Boise State,19,0-1,6,Away,Washington,99,1-0,38,Home
2013,1,Nevada,99,0-1,20,Away,UCLA,21,1-0,58,Home
2013,1,Northwestern,22,1-0,44,Away,California,99,0-1,30,Home
2013,1,Massachusetts,99,0-1,0,Away,Wisconsin,23,1-0,45,Home
2013,1,Eastern Washington,99,1-0,49,Away,Oregon State,25,0-1,46,Home
2013,1,Ohio,99,0-1,7,Away,Louisville,9,1-0,49,Home
2013,1,Florida State,11,1-0,41,Away,Pittsburgh,99,0-1,13,Home
