Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2005,2,Texas,2,2-0,25,Away,Ohio State,4,1-1,22,Home
2005,2,Notre Dame,20,2-0,17,Away,Michigan,3,1-1,10,Home
2005,2,LSU,5,1-0,35,Away,Arizona State,15,1-1,31,Home
2005,2,Virginia Tech,7,2-0,45,Away,Duke,99,0-2,0,Home
2005,2,Iowa,8,1-1,3,Away,Iowa State,99,2-0,23,Home
2005,2,South Carolina,99,1-1,15,Away,Georgia,9,2-0,17,Home
2005,2,Louisiana Tech,99,0-1,3,Away,Florida,10,2-0,41,Home
2005,2,The Citadel,99,1-1,10,Away,Florida State,11,2-0,62,Home
2005,2,Akron,99,0-1,24,Away,Purdue,13,1-0,49,Home
2005,2,California,16,2-0,56,Away,Washington,99,0-2,17,Home
2005,2,North Carolina,99,0-1,21,Away,Georgia Tech,17,2-0,27,Home
2005,2,Tulsa,99,0-2,15,Away,Oklahoma,18,1-1,31,Home
2005,2,Army,99,0-1,7,Away,Boston College,19,2-0,44,Home
2005,2,Florida Intl,99,0-2,3,Away,Texas Tech,21,1-0,56,Home
2005,2,TCU,22,1-1,10,Away,SMU,99,1-1,21,Home
2005,2,Weber State,99,1-1,17,Away,Fresno State,24,1-0,55,Home
2005,2,Clemson,25,2-0,28,Away,Maryland,99,1-1,24,Home
