Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2011,1,UNLV,99,0-1,17,Away,Wisconsin,11,1-0,51,Home
2011,1,Mississippi State,20,1-0,59,Away,Memphis,99,0-1,14,Home
2011,1,TCU,14,0-1,48,Away,Baylor,99,1-0,50,Home
2011,1,Youngstown State,99,0-1,6,Away,Michigan State,17,1-0,28,Home
2011,1,Tulsa,99,0-1,14,Away,Oklahoma,1,1-0,47,Home
2011,1,Kent State,99,0-1,7,Away,Alabama,2,1-0,48,Home
2011,1,Oregon,3,0-1,27,Away,LSU,4,1-0,40,Home
2011,1,Boise State,5,1-0,35,Away,Georgia,19,0-1,21,Home
2011,1,Louisiana Monroe,99,0-1,0,Away,Florida State,6,1-0,34,Home
2011,1,San José State,99,0-1,3,Away,Stanford,7,1-0,57,Home
2011,1,Louisiana Lafayette,99,0-1,34,Away,Oklahoma State,9,1-0,61,Home
2011,1,Chattanooga,99,0-1,7,Away,Nebraska,10,1-0,40,Home
2011,1,East Carolina,99,0-1,37,Away,South Carolina,12,1-0,56,Home
2011,1,Appalachian State,99,0-1,13,Away,Virginia Tech,13,1-0,66,Home
2011,1,Missouri State,99,0-1,7,Away,Arkansas,15,1-0,51,Home
2011,1,South Florida,99,1-0,23,Away,Notre Dame,16,0-1,20,Home
2011,1,Akron,99,0-1,0,Away,Ohio State,18,1-0,42,Home
2011,1,Miami (OH),99,0-1,6,Away,Missouri,21,1-0,17,Home
2011,1,Florida Atlantic,99,0-1,3,Away,Florida,22,1-0,41,Home
2011,1,Utah State,99,0-1,38,Away,Auburn,23,1-0,42,Home
2011,1,Minnesota,99,0-1,17,Away,USC,25,1-0,19,Home
2011,1,SMU,99,0-1,14,Away,Texas A&M,8,1-0,46,Home
2011,1,Marshall,99,0-1,13,Away,West Virginia,24,1-0,34,Home
