Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2017,10,Memphis,23,8-1,41,Away,Tulsa,99,2-8,14,Home
2017,10,South Carolina,99,6-3,10,Away,Georgia,1,9-0,24,Home
2017,10,LSU,19,6-3,10,Away,Alabama,2,9-0,24,Home
2017,10,Wake Forest,99,5-4,37,Away,Notre Dame,3,8-1,48,Home
2017,10,Clemson,4,8-1,38,Away,NC State,20,6-3,31,Home
2017,10,Oklahoma,5,8-1,62,Away,Oklahoma State,11,7-2,52,Home
2017,10,Ohio State,6,7-2,24,Away,Iowa,99,6-3,55,Home
2017,10,Penn State,7,7-2,24,Away,Michigan State,24,7-2,27,Home
2017,10,Texas,99,4-5,7,Away,TCU,8,8-1,24,Home
2017,10,Wisconsin,9,9-0,45,Away,Indiana,99,3-6,17,Home
2017,10,Virginia Tech,13,7-2,10,Away,Miami,10,8-0,28,Home
2017,10,Oregon,99,5-5,3,Away,Washington,12,8-1,38,Home
2017,10,Auburn,14,7-2,42,Away,Texas A&M,99,5-4,27,Home
2017,10,Iowa State,15,6-3,16,Away,West Virginia,99,6-3,20,Home
2017,10,UMass,99,2-7,23,Away,Mississippi State,16,7-2,34,Home
2017,10,Arizona,22,6-3,35,Away,USC,17,8-2,49,Home
2017,10,UCF,18,8-0,31,Away,SMU,99,6-3,24,Home
2017,10,Stanford,21,6-3,21,Away,Washington State,25,8-2,24,Home
