Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2003,14,TCU,10,10-1,28,Away,Southern Mississippi,99,8-3,40,Home
2003,14,Boise State,20,10-1,31,Away,Fresno State,99,7-5,17,Home
2003,14,Oklahoma,1,12-0,56,Away,Texas Tech,99,7-5,25,Home
2003,14,UCLA,99,6-6,22,Away,USC,2,10-1,47,Home
2003,14,LSU,3,10-1,17,Away,Ole Miss,15,8-3,14,Home
2003,14,Ohio State,4,10-2,21,Away,Michigan,5,10-2,35,Home
2003,14,Kentucky,99,4-7,10,Away,Georgia,6,9-2,30,Home
2003,14,Washington State,8,9-3,19,Away,Washington,99,6-6,27,Home
2003,14,Vanderbilt,99,2-10,0,Away,Tennessee,9,9-2,48,Home
2003,14,Boston College,99,7-5,34,Away,Virginia Tech,12,8-3,27,Home
2003,14,Rutgers,99,4-7,10,Away,Miami,13,9-2,34,Home
2003,14,Purdue,16,9-3,24,Away,Indiana,99,2-10,16,Home
2003,14,Iowa,17,9-3,27,Away,Wisconsin,99,7-5,21,Home
2003,14,Miami (OH),18,10-1,49,Away,Ohio,99,2-9,31,Home
2003,14,Missouri,99,7-4,14,Away,Kansas State,19,10-3,24,Home
2003,14,Pittsburgh,21,8-3,30,Away,Temple,99,1-10,16,Home
2003,14,Bowling Green,22,9-2,41,Away,Ball State,99,5-8,14,Home
2003,14,Oklahoma State,24,9-3,38,Away,Baylor,99,3-9,21,Home
2003,14,West Virginia,25,7-4,34,Away,Syracuse,99,5-5,23,Home
