Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2012,3,Alabama,1,3-0,52,Away,Arkansas,99,1-2,0,Home
2012,3,USC,2,2-1,14,Away,Stanford,21,3-0,21,Home
2012,3,Idaho,99,0-3,14,Away,LSU,3,3-0,63,Home
2012,3,Tennessee Tech,99,2-1,14,Away,Oregon,4,3-0,63,Home
2012,3,Wake Forest,99,2-1,0,Away,Florida State,5,3-0,52,Home
2012,3,Florida Atlantic,99,1-2,20,Away,Georgia,7,3-0,56,Home
2012,3,UAB,99,0-2,6,Away,South Carolina,8,3-0,49,Home
2012,3,James Madison,99,2-1,12,Away,West Virginia,9,2-0,42,Home
2012,3,Notre Dame,20,3-0,20,Away,Michigan State,10,2-1,3,Home
2012,3,Furman,99,0-3,7,Away,Clemson,11,3-0,41,Home
2012,3,California,99,1-2,28,Away,Ohio State,12,3-0,35,Home
2012,3,Virginia Tech,13,2-1,17,Away,Pittsburgh,99,1-2,35,Home
2012,3,Texas,14,3-0,66,Away,Ole Miss,99,2-1,31,Home
2012,3,North Texas,99,1-2,21,Away,Kansas State,15,3-0,35,Home
2012,3,TCU,16,2-0,20,Away,Kansas,99,1-2,6,Home
2012,3,Massachusetts,99,0-3,13,Away,Michigan,17,2-1,63,Home
2012,3,Florida,18,3-0,37,Away,Tennessee,23,2-1,20,Home
2012,3,North Carolina,99,1-2,34,Away,Louisville,19,3-0,39,Home
2012,3,Houston,99,0-3,6,Away,UCLA,22,3-0,37,Home
2012,3,South Carolina State,99,1-2,0,Away,Arizona,24,3-0,56,Home
2012,3,BYU,25,2-1,21,Away,Utah,99,2-1,24,Home
