Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2003,15,Ole Miss,17,9-3,31,Away,Mississippi State,99,2-10,0,Home
2003,15,Arkansas,99,8-4,24,Away,LSU,3,11-1,55,Home
2003,15,Texas,6,10-2,46,Away,Texas A&M,99,4-8,15,Home
2003,15,Miami (OH),15,11-1,56,Away,UCF,99,3-9,21,Home
2003,15,Nebraska,25,9-3,31,Away,Colorado,99,5-7,22,Home
2003,15,Georgia,5,10-2,34,Away,Georgia Tech,99,6-6,17,Home
2003,15,Tennessee,7,10-2,20,Away,Kentucky,99,4-8,7,Home
2003,15,Florida State,9,10-2,38,Away,Florida,11,8-4,34,Home
2003,15,Miami,10,10-2,28,Away,Pittsburgh,20,8-4,14,Home
2003,15,Nevada,99,6-6,3,Away,Boise State,18,11-1,56,Home
2003,15,TCU,19,11-1,20,Away,SMU,99,0-12,13,Home
2003,15,Virginia Tech,21,8-4,21,Away,Virginia,99,7-5,35,Home
2003,15,Toledo,99,8-4,23,Away,Bowling Green,22,10-2,31,Home
2003,15,Temple,99,1-11,28,Away,West Virginia,24,8-4,45,Home
