Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2009,7,Boise State,5,6-0,28,Away,Tulsa,99,4-2,21,Home
2009,7,Cincinnati,8,6-0,34,Away,South Florida,21,5-1,17,Home
2009,7,Arkansas,99,3-3,20,Away,Florida,1,6-0,23,Home
2009,7,South Carolina,22,5-2,6,Away,Alabama,2,7-0,20,Home
2009,7,Oklahoma,20,3-3,13,Away,Texas,3,6-0,16,Home
2009,7,Virginia Tech,4,5-2,23,Away,Georgia Tech,19,6-1,28,Home
2009,7,USC,6,5-1,34,Away,Notre Dame,25,4-2,27,Home
2009,7,Ohio State,7,5-2,18,Away,Purdue,99,2-5,26,Home
2009,7,Miami,9,5-1,27,Away,UCF,99,3-3,7,Home
2009,7,Iowa,11,7-0,20,Away,Wisconsin,99,5-2,10,Home
2009,7,Colorado State,99,3-4,6,Away,TCU,12,6-0,44,Home
2009,7,Minnesota,99,4-3,0,Away,Penn State,14,6-1,20,Home
2009,7,Texas Tech,99,5-2,31,Away,Nebraska,15,4-2,10,Home
2009,7,Missouri,99,4-2,17,Away,Oklahoma State,16,5-1,33,Home
2009,7,Kansas,17,5-1,30,Away,Colorado,99,2-4,34,Home
2009,7,BYU,18,6-1,38,Away,San Diego State,99,2-4,28,Home
2009,7,Houston,23,5-1,44,Away,Tulane,99,2-4,16,Home
2009,7,Utah,24,5-1,35,Away,UNLV,99,2-5,15,Home
