Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2016,9,Virginia Tech,25,6-2,39,Away,Pittsburgh,99,5-3,36,Home
2016,9,Navy,22,5-2,45,Away,South Florida,99,7-2,52,Home
2016,9,Michigan,2,8-0,32,Away,Michigan State,99,2-6,23,Home
2016,9,Clemson,3,8-0,37,Away,Florida State,12,5-3,34,Home
2016,9,Washington,4,8-0,31,Away,Utah,17,7-2,24,Home
2016,9,Louisville,5,7-1,32,Away,Virginia,99,2-6,25,Home
2016,9,Northwestern,99,4-4,20,Away,Ohio State,6,7-1,24,Home
2016,9,Nebraska,7,7-1,17,Away,Wisconsin,11,6-2,23,Home
2016,9,Baylor,8,6-1,34,Away,Texas,99,4-4,35,Home
2016,9,New Mexico State,99,2-6,10,Away,Texas A&M,9,7-1,52,Home
2016,9,West Virginia,10,6-1,20,Away,Oklahoma State,99,6-2,37,Home
2016,9,Boise State,13,7-1,28,Away,Wyoming,99,6-2,30,Home
2016,9,Florida,14,6-1,24,Away,Georgia,99,4-4,10,Home
2016,9,Auburn,15,6-2,40,Away,Ole Miss,99,3-5,29,Home
2016,9,Kansas,99,1-7,3,Away,Oklahoma,16,6-2,56,Home
2016,9,Tennessee,18,5-3,21,Away,South Carolina,99,4-4,24,Home
2016,9,Penn State,24,6-2,62,Away,Purdue,99,3-5,24,Home
