Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2010,5,Florida,7,4-1,6,Away,Alabama,1,5-0,31,Home
2010,5,Ohio State,2,5-0,24,Away,Illinois,99,2-2,13,Home
2010,5,Boise State,3,4-0,59,Away,New Mexico State,99,0-4,0,Home
2010,5,Stanford,9,4-1,31,Away,Oregon,4,5-0,52,Home
2010,5,TCU,5,5-0,27,Away,Colorado State,99,1-4,0,Home
2010,5,Texas,21,3-2,20,Away,Oklahoma,8,5-0,28,Home
2010,5,Louisiana Monroe,99,1-3,3,Away,Auburn,10,5-0,52,Home
2010,5,Wisconsin,11,4-1,24,Away,Michigan State,24,5-0,34,Home
2010,5,Tennessee,99,2-3,14,Away,LSU,12,5-0,16,Home
2010,5,Miami,16,3-1,30,Away,Clemson,99,2-2,21,Home
2010,5,Penn State,22,3-2,3,Away,Iowa,17,4-1,24,Home
2010,5,Washington,99,2-2,32,Away,USC,18,4-1,31,Home
2010,5,Michigan,19,5-0,42,Away,Indiana,99,3-1,35,Home
2010,5,Virginia Tech,99,3-2,41,Away,NC State,23,4-1,30,Home
2010,5,Nevada,25,5-0,44,Away,UNLV,99,1-4,26,Home
