Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2013,5,Ole Miss,21,3-1,0,Away,Alabama,1,4-0,25,Home
2013,5,California,99,1-3,16,Away,Oregon,2,4-0,55,Home
2013,5,Wake Forest,99,2-3,7,Away,Clemson,3,4-0,56,Home
2013,5,Wisconsin,23,3-2,24,Away,Ohio State,4,5-0,31,Home
2013,5,Stanford,5,4-0,55,Away,Washington State,99,3-2,17,Home
2013,5,LSU,6,4-1,41,Away,Georgia,9,3-1,44,Home
2013,5,Florida State,8,4-0,48,Away,Boston College,99,2-2,34,Home
2013,5,Texas A&M,10,4-1,45,Away,Arkansas,99,3-2,33,Home
2013,5,Oklahoma State,11,3-1,21,Away,West Virginia,99,3-2,30,Home
2013,5,South Carolina,12,3-1,28,Away,UCF,99,3-1,25,Home
2013,5,Oklahoma,14,4-0,35,Away,Notre Dame,22,3-2,21,Home
2013,5,Miami,15,4-0,49,Away,South Florida,99,0-4,21,Home
2013,5,Arizona,99,3-1,13,Away,Washington,16,4-0,31,Home
2013,5,Florida,20,3-1,24,Away,Kentucky,99,1-3,7,Home
2013,5,Fresno State,25,4-0,42,Away,Hawaii,99,0-4,37,Home
