Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2008,2,South Carolina,24,1-1,17,Away,Vanderbilt,99,2-0,24,Home
2008,2,Central Michigan,99,1-1,17,Away,Georgia,2,2-0,56,Home
2008,2,Ohio,99,0-2,14,Away,Ohio State,3,2-0,26,Home
2008,2,Cincinnati,99,1-1,26,Away,Oklahoma,4,2-0,52,Home
2008,2,Miami,99,1-1,3,Away,Florida,5,2-0,26,Home
2008,2,Southeast Missouri State,99,1-1,3,Away,Missouri,6,2-0,52,Home
2008,2,West Virginia,8,1-1,3,Away,East Carolina,99,2-0,24,Home
2008,2,Southern Mississippi,99,1-1,13,Away,Auburn,9,2-0,27,Home
2008,2,Texas,10,2-0,42,Away,UTEP,99,0-2,13,Home
2008,2,Marshall,99,1-1,14,Away,Wisconsin,11,2-0,51,Home
2008,2,Texas Tech,12,2-0,35,Away,Nevada,99,1-1,19,Home
2008,2,Tulane,99,0-1,6,Away,Alabama,13,2-0,20,Home
2008,2,Louisiana Tech,99,1-1,0,Away,Kansas,14,2-0,29,Home
2008,2,BYU,15,2-0,28,Away,Washington,99,0-2,27,Home
2008,2,Stanford,99,1-1,17,Away,Arizona State,15,2-0,41,Home
2008,2,South Florida,17,2-0,31,Away,UCF,99,1-1,24,Home
2008,2,Utah State,99,0-2,24,Away,Oregon,18,2-0,66,Home
2008,2,Oregon State,99,0-2,14,Away,Penn State,19,2-0,45,Home
2008,2,Ole Miss,99,1-1,28,Away,Wake Forest,20,2-0,30,Home
2008,2,UNLV,99,1-1,21,Away,Utah,22,2-0,42,Home
2008,2,Eastern Illinois,99,0-2,21,Away,Illinois,24,1-1,47,Home
