Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2014,10,Florida State,2,8-0,42,Away,Louisville,25,6-3,31,Home
2014,10,Arkansas,99,4-5,10,Away,Mississippi State,1,8-0,17,Home
2014,10,Auburn,3,7-1,35,Away,Ole Miss,4,7-2,31,Home
2014,10,Stanford,99,5-4,16,Away,Oregon,5,8-1,45,Home
2014,10,TCU,7,7-1,31,Away,West Virginia,20,6-3,30,Home
2014,10,Oklahoma State,99,5-4,14,Away,Kansas State,9,7-1,48,Home
2014,10,Notre Dame,10,7-1,49,Away,Navy,99,4-5,39,Home
2014,10,Florida,99,4-3,38,Away,Georgia,11,6-2,20,Home
2014,10,Arizona,12,6-2,7,Away,UCLA,22,7-2,17,Home
2014,10,Kansas,99,2-6,14,Away,Baylor,13,7-1,60,Home
2014,10,Utah,17,6-2,16,Away,Arizona State,14,7-1,19,Home
2014,10,Purdue,99,3-6,14,Away,Nebraska,15,8-1,35,Home
2014,10,Illinois,99,4-5,14,Away,Ohio State,16,7-1,55,Home
2014,10,Oklahoma,18,6-2,59,Away,Iowa State,99,2-6,14,Home
2014,10,East Carolina,23,6-2,10,Away,Temple,99,5-3,20,Home
2014,10,Duke,24,7-1,51,Away,Pittsburgh,99,4-5,48,Home
