Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2016,11,Western Michigan,21,10-0,37,Away,Kent State,99,3-7,21,Home
2016,11,Utah,15,8-2,49,Away,Arizona State,99,5-5,26,Home
2016,11,North Carolina,17,7-3,27,Away,Duke,99,4-6,28,Home
2016,11,Boston College,99,4-6,7,Away,Florida State,18,7-3,45,Home
2016,11,Mississippi State,99,4-6,3,Away,Alabama,1,10-0,51,Home
2016,11,Pittsburgh,99,6-4,43,Away,Clemson,2,9-1,42,Home
2016,11,Michigan,3,9-1,13,Away,Iowa,99,6-4,14,Home
2016,11,USC,20,7-3,26,Away,Washington,4,9-1,13,Home
2016,11,Ohio State,5,9-1,62,Away,Maryland,99,5-5,3,Home
2016,11,Wake Forest,99,6-4,12,Away,Louisville,6,9-1,44,Home
2016,11,Illinois,99,3-7,3,Away,Wisconsin,7,8-2,48,Home
2016,11,Ole Miss,99,5-5,29,Away,Texas A&M,8,7-3,28,Home
2016,11,Auburn,9,7-3,7,Away,Georgia,99,6-4,13,Home
2016,11,Penn State,10,8-2,45,Away,Indiana,99,5-5,31,Home
2016,11,Baylor,99,6-3,24,Away,Oklahoma,11,8-2,45,Home
2016,11,Colorado,12,8-2,49,Away,Arizona,99,2-8,24,Home
2016,11,Texas Tech,99,4-6,44,Away,Oklahoma State,13,8-2,45,Home
2016,11,Georgia Tech,99,6-4,30,Away,Virginia Tech,14,7-3,20,Home
2016,11,West Virginia,16,8-1,24,Away,Texas,99,5-5,20,Home
2016,11,Minnesota,99,7-3,17,Away,Nebraska,19,8-2,24,Home
2016,11,Boise State,22,9-1,52,Away,Hawai'i,99,4-7,16,Home
2016,11,California,99,4-6,21,Away,Washington State,23,8-2,56,Home
2016,11,LSU,24,6-3,38,Away,Arkansas,25,6-4,10,Home
