Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2003,4,Fresno State,99,1-2,28,Away,Oklahoma,1,3-0,52,Home
2003,4,East Carolina,99,0-3,3,Away,Miami,2,3-0,38,Home
2003,4,NC State,24,1-2,38,Away,Ohio State,3,3-0,44,Home
2003,4,Hawaii,99,1-1,32,Away,USC,4,3-0,61,Home
2003,4,Notre Dame,15,1-1,0,Away,Michigan,5,3-0,38,Home
2003,4,Arkansas,99,2-0,38,Away,Texas,6,1-1,28,Home
2003,4,Massachusetts,99,1-1,7,Away,Kansas State,7,4-0,38,Home
2003,4,South Carolina,25,2-1,7,Away,Georgia,8,3-0,31,Home
2003,4,Georgia Tech,99,1-2,13,Away,Florida State,10,3-0,14,Home
2003,4,Ball State,99,2-2,21,Away,Pittsburgh,11,2-0,42,Home
2003,4,Western Illinois,99,2-1,7,Away,LSU,12,3-0,35,Home
2003,4,UNLV,99,2-1,23,Away,Wisconsin,14,2-1,5,Home
2003,4,Utah State,99,0-3,16,Away,Arizona State,16,2-0,26,Home
2003,4,Washington State,99,2-1,47,Away,Colorado,17,2-1,26,Home
2003,4,Penn State,99,1-2,10,Away,Nebraska,18,3-0,18,Home
2003,4,Florida A&M,99,1-2,3,Away,Florida,19,2-1,63,Home
2003,4,Purdue,99,1-1,16,Away,Wake Forest,20,2-1,10,Home
2003,4,Iowa,23,3-0,40,Away,Iowa State,99,2-1,21,Home
