Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2016,7,Duke,99,3-4,14,Away,Louisville,7,5-1,24,Home
2016,7,Alabama,1,7-0,49,Away,Tennessee,9,5-2,10,Home
2016,7,Ohio State,2,6-0,30,Away,Wisconsin,8,4-2,23,Home
2016,7,NC State,99,4-2,17,Away,Clemson,3,7-0,24,Home
2016,7,Nebraska,10,6-0,27,Away,Indiana,99,3-3,22,Home
2016,7,Kansas,99,1-5,7,Away,Baylor,11,6-0,49,Home
2016,7,Ole Miss,12,3-3,30,Away,Arkansas,22,5-2,34,Home
2016,7,Tulsa,99,4-2,31,Away,Houston,13,6-1,38,Home
2016,7,Wake Forest,99,5-2,6,Away,Florida State,14,5-2,17,Home
2016,7,Colorado State,99,3-4,23,Away,Boise State,15,6-0,28,Home
2016,7,North Carolina,99,5-2,20,Away,Miami,16,4-2,13,Home
2016,7,Virginia Tech,17,4-2,17,Away,Syracuse,99,3-4,31,Home
2016,7,Missouri,99,2-4,14,Away,Florida,18,5-1,40,Home
2016,7,Kansas State,99,3-3,17,Away,Oklahoma,19,4-2,38,Home
2016,7,West Virginia,20,5-0,48,Away,Texas Tech,99,3-3,17,Home
2016,7,Utah,21,6-1,19,Away,Oregon State,99,2-4,14,Home
2016,7,Western Michigan,24,7-0,41,Away,Akron,99,4-3,0,Home
