Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2016,1,Appalachian State,99,0-1,13,Away,Tennessee,9,1-0,20,Home
2016,1,Charlotte,99,0-1,14,Away,Louisville,19,1-0,70,Home
2016,1,Kansas State,99,0-1,13,Away,Stanford,8,1-0,26,Home
2016,1,Furman,99,0-1,13,Away,Michigan State,12,1-0,28,Home
2016,1,Northwestern State,99,0-1,7,Away,Baylor,23,1-0,55,Home
2016,1,USC,20,0-1,6,Away,Alabama,1,1-0,52,Home
2016,1,Clemson,2,1-0,19,Away,Auburn,99,0-1,13,Home
2016,1,Oklahoma,3,0-1,23,Away,Houston,15,1-0,33,Home
2016,1,LSU,5,0-1,14,Away,Wisconsin,99,1-0,16,Home
2016,1,Bowling Green,99,0-1,10,Away,Ohio State,6,1-0,77,Home
2016,1,Hawai'i,99,0-2,3,Away,Michigan,7,1-0,63,Home
2016,1,South Dakota State,99,0-1,41,Away,TCU,13,1-0,59,Home
2016,1,Rutgers,99,0-1,13,Away,Washington,14,1-0,48,Home
2016,1,UCLA,16,0-1,24,Away,Texas A&M,99,1-0,31,Home
2016,1,Miami (OH),99,0-1,21,Away,Iowa,17,1-0,45,Home
2016,1,Georgia,18,1-0,33,Away,North Carolina,22,0-1,24,Home
2016,1,Southeastern Louisiana,99,0-1,7,Away,Oklahoma State,21,1-0,61,Home
2016,1,UC Davis,99,0-1,28,Away,Oregon,24,1-0,53,Home
2016,1,Massachusetts,99,0-1,7,Away,Florida,25,1-0,24,Home
2016,1,Notre Dame,10,0-1,47,Away,Texas,99,1-0,50,Home
2016,1,Ole Miss,11,0-1,34,Away,Florida State,4,1-0,45,Home
