Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2016,5,Connecticut,99,2-3,14,Away,Houston,6,5-0,42,Home
2016,5,Stanford,7,3-1,6,Away,Washington,10,5-0,44,Home
2016,5,Kentucky,99,2-3,6,Away,Alabama,1,5-0,34,Home
2016,5,Rutgers,99,2-3,0,Away,Ohio State,2,4-0,58,Home
2016,5,Louisville,3,4-1,36,Away,Clemson,5,5-0,42,Home
2016,5,Wisconsin,8,4-1,7,Away,Michigan,4,5-0,14,Home
2016,5,Texas A&M,9,5-0,24,Away,South Carolina,99,2-3,13,Home
2016,5,Tennessee,11,5-0,34,Away,Georgia,25,3-2,31,Home
2016,5,North Carolina,99,4-1,37,Away,Florida State,12,3-2,35,Home
2016,5,Baylor,13,5-0,45,Away,Iowa State,99,1-4,42,Home
2016,5,Miami,14,4-0,35,Away,Georgia Tech,99,3-2,21,Home
2016,5,Illinois,99,1-3,16,Away,Nebraska,15,5-0,31,Home
2016,5,Memphis,99,3-1,28,Away,Ole Miss,16,3-2,48,Home
2016,5,Michigan State,17,2-2,21,Away,Indiana,99,3-1,24,Home
2016,5,Utah,18,4-1,23,Away,California,99,3-2,28,Home
2016,5,San Diego State,19,3-1,24,Away,South Alabama,99,3-2,42,Home
2016,5,Alcorn State,99,1-3,10,Away,Arkansas,20,4-1,52,Home
2016,5,Oklahoma,99,2-2,52,Away,TCU,21,3-2,46,Home
2016,5,Texas,22,2-2,31,Away,Oklahoma State,99,3-2,49,Home
2016,5,Florida,23,4-1,13,Away,Vanderbilt,99,2-3,6,Home
2016,5,Utah State,99,2-3,10,Away,Boise State,24,4-0,21,Home
