Week,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
1,0,0,0,5,1,2,4,2,2,3,0,3,1,2,4,1
2,5,0,0,8,2,5,6,4,5,5,4,8,3,4,6,2
3,7,4,6,12,5,9,9,8,7,9,8,10,7,6,10,7
4,10,8,9,16,6,13,12,15,9,11,10,10,9,10,13,10
5,10,8,9,21,8,21,19,18,12,17,11,12,10,15,21,12
6,12,12,12,27,12,26,23,19,15,18,17,14,18,19,26,17
7,18,17,12,32,17,32,28,23,22,22,19,19,21,22,29,24
8,21,25,18,34,18,38,33,25,27,27,21,27,23,26,33,25
9,21,25,21,37,21,43,37,30,31,33,28,31,24,28,39
10,26,31,26,41,26,46,45,36,36,37,33,33,27,35,42
11,30,35,29,49,31,51,48,42,40,42,38,37,30,42,49
12,35,41,33,53,33,54,52,45,41,49,42,39,39,48,52
13,38,46,36,54,39,59,57,51,46,49,49,43,41,55,57
14,44,50,36,57,42,62,60,55,48,51,52,47,45,57,59
15,49,51,37,57,42,62,63,56,48,52,52,50,46,57,60
16,49,52,37,57,42,62,63,56,48,52,52,51,46,57,60
