Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2011,12,North Carolina,99,6-5,21,Away,Virginia Tech,8,10-1,24,Home
2011,12,Southern Mississippi,20,9-2,31,Away,UAB,99,3-8,34,Home
2011,12,Oklahoma State,2,10-1,31,Away,Iowa State,99,6-4,37,Home
2011,12,LSU,1,11-0,52,Away,Ole Miss,99,2-9,3,Home
2011,12,Georgia Southern,99,9-2,21,Away,Alabama,3,10-1,45,Home
2011,12,USC,99,9-2,38,Away,Oregon,4,9-2,35,Home
2011,12,Oklahoma,5,8-2,38,Away,Baylor,22,7-3,45,Home
2011,12,Mississippi State,99,5-6,17,Away,Arkansas,6,10-1,44,Home
2011,12,Clemson,7,9-2,13,Away,NC State,99,6-5,37,Home
2011,12,California,99,6-5,28,Away,Stanford,9,10-1,31,Home
2011,12,Boise State,10,9-1,52,Away,San Diego State,99,6-4,35,Home
2011,12,SMU,99,6-5,7,Away,Houston,11,11-0,37,Home
2011,12,The Citadel,99,4-7,20,Away,South Carolina,12,9-2,41,Home
2011,12,Kansas State,13,9-2,17,Away,Texas,23,6-4,13,Home
2011,12,Kentucky,99,4-7,10,Away,Georgia,14,9-2,19,Home
2011,12,Indiana,99,1-10,3,Away,Michigan State,15,9-2,55,Home
2011,12,Nebraska,16,8-3,17,Away,Michigan,18,9-2,45,Home
2011,12,Wisconsin,17,9-2,28,Away,Illinois,99,6-5,17,Home
2011,12,Colorado State,99,3-7,10,Away,TCU,19,9-2,34,Home
2011,12,Penn State,21,9-2,20,Away,Ohio State,99,6-5,14,Home
2011,12,Samford,99,6-5,16,Away,Auburn,24,7-4,35,Home
2011,12,Virginia,99,8-3,14,Away,Florida State,25,7-4,13,Home
