Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2009,4,Ole Miss,4,2-1,10,Away,South Carolina,99,3-1,16,Home
2009,4,Florida,1,4-0,41,Away,Kentucky,99,2-1,7,Home
2009,4,UTEP,99,1-3,7,Away,Texas,2,4-0,64,Home
2009,4,Arkansas,99,1-2,7,Away,Alabama,3,4-0,35,Home
2009,4,Iowa,99,4-0,21,Away,Penn State,5,3-1,10,Home
2009,4,California,6,3-1,3,Away,Oregon,99,3-1,42,Home
2009,4,LSU,7,4-0,30,Away,Mississippi State,99,2-2,26,Home
2009,4,Boise State,8,4-0,49,Away,Bowling Green,99,1-3,14,Home
2009,4,Miami,9,2-1,7,Away,Virginia Tech,11,3-1,31,Home
2009,4,Washington State,99,1-3,6,Away,USC,12,3-1,27,Home
2009,4,Illinois,99,1-2,0,Away,Ohio State,13,3-1,30,Home
2009,4,Fresno State,99,1-3,20,Away,Cincinnati,14,4-0,28,Home
2009,4,TCU,15,3-0,14,Away,Clemson,99,2-2,10,Home
2009,4,Grambling State,99,2-2,6,Away,Oklahoma State,16,3-1,56,Home
2009,4,Texas Tech,99,2-2,28,Away,Houston,17,3-0,29,Home
2009,4,South Florida,99,4-0,17,Away,Florida State,18,2-2,7,Home
2009,4,Colorado State,99,3-1,23,Away,BYU,19,3-1,42,Home
2009,4,Southern Mississippi,99,3-1,28,Away,Kansas,20,4-0,35,Home
2009,4,Arizona State,99,2-1,17,Away,Georgia,21,3-1,20,Home
2009,4,North Carolina,22,3-1,7,Away,Georgia Tech,99,3-1,24,Home
2009,4,Indiana,99,3-1,33,Away,Michigan,23,4-0,36,Home
2009,4,Washington,24,2-2,14,Away,Stanford,99,3-1,34,Home
2009,4,Louisiana Lafayette,99,2-2,0,Away,Nebraska,25,3-1,55,Home
