Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2009,13,Texas,3,12-0,49,Away,Texas A&M,99,6-6,39,Home
2009,13,Alabama,2,12-0,26,Away,Auburn,99,7-5,21,Home
2009,13,Illinois,99,3-8,36,Away,Cincinnati,5,11-0,49,Home
2009,13,Nevada,99,8-4,33,Away,Boise State,6,12-0,44,Home
2009,13,Pittsburgh,9,9-2,16,Away,West Virginia,99,8-3,19,Home
2009,13,Florida State,99,6-6,10,Away,Florida,1,12-0,37,Home
2009,13,New Mexico,99,1-11,10,Away,TCU,4,12-0,51,Home
2009,13,Georgia,99,7-5,30,Away,Georgia Tech,7,10-2,24,Home
2009,13,Oklahoma State,12,9-3,0,Away,Oklahoma,99,7-5,27,Home
2009,13,Virginia Tech,14,9-3,42,Away,Virginia,99,3-9,13,Home
2009,13,Arkansas,99,7-5,30,Away,LSU,15,9-3,33,Home
2009,13,Miami,17,9-3,31,Away,South Florida,99,7-4,10,Home
2009,13,Clemson,18,8-4,17,Away,South Carolina,99,7-5,34,Home
2009,13,Utah,21,9-3,23,Away,BYU,19,10-2,26,Home
2009,13,UCLA,99,6-6,7,Away,USC,20,8-3,28,Home
2009,13,Rice,99,2-10,14,Away,Houston,23,10-2,73,Home
2009,13,North Carolina,24,8-4,27,Away,NC State,99,5-7,28,Home
2009,13,Ole Miss,25,8-4,27,Away,Mississippi State,99,5-7,41,Home
