Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2003,3,Oklahoma,1,2-0,20,Away,Alabama,99,1-1,13,Home
2003,3,San Diego State,99,1-1,13,Away,Ohio State,2,2-0,16,Home
2003,3,Florida,21,1-1,33,Away,Miami,3,2-0,38,Home
2003,3,BYU,99,1-1,18,Away,USC,4,2-0,35,Home
2003,3,Houston,99,1-1,3,Away,Michigan,5,2-0,50,Home
2003,3,McNeese State,99,1-1,14,Away,Kansas State,7,3-0,55,Home
2003,3,Middle Tennessee,99,0-2,10,Away,Georgia,8,2-0,29,Home
2003,3,James Madison,99,1-1,0,Away,Virginia Tech,9,2-0,43,Home
2003,3,Kent State,99,1-1,3,Away,Pittsburgh,10,1-0,43,Home
2003,3,Maryland,99,0-2,10,Away,Florida State,11,2-0,35,Home
2003,3,Marshall,99,1-1,24,Away,Tennessee,12,2-0,34,Home
2003,3,LSU,13,2-0,59,Away,Arizona,99,1-1,13,Home
2003,3,NC State,14,1-1,24,Away,Wake Forest,99,2-0,38,Home
2003,3,Virginia,15,1-1,7,Away,South Carolina,99,2-0,31,Home
2003,3,Bowling Green,99,2-0,27,Away,Purdue,16,0-1,26,Home
2003,3,Auburn,17,0-2,3,Away,Georgia Tech,99,1-1,17,Home
2003,3,Akron,99,0-2,31,Away,Wisconsin,18,2-0,48,Home
2003,3,Washington State,99,1-1,26,Away,Notre Dame,19,1-0,29,Home
2003,3,Northern Arizona,99,1-1,14,Away,Arizona State,20,1-0,34,Home
2003,3,Indiana,99,0-2,13,Away,Washington,22,1-1,38,Home
2003,3,Utah State,99,0-2,7,Away,Nebraska,23,2-0,31,Home
2003,3,UCLA,99,0-1,14,Away,Colorado,24,2-0,16,Home
2003,3,Navy,99,1-1,3,Away,TCU,25,2-0,17,Home
