Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2005,9,Boston College,13,6-2,10,Away,Virginia Tech,3,8-0,30,Home
2005,9,Washington State,99,3-5,13,Away,USC,1,8-0,55,Home
2005,9,Texas,2,8-0,47,Away,Oklahoma State,99,3-5,28,Home
2005,9,Georgia,4,7-1,10,Away,Florida,16,6-2,14,Home
2005,9,Utah State,99,2-5,3,Away,Alabama,5,8-0,35,Home
2005,9,North Carolina,99,3-4,16,Away,Miami,6,6-1,34,Home
2005,9,North Texas,99,2-5,3,Away,LSU,7,6-1,56,Home
2005,9,UCLA,8,8-0,30,Away,Stanford,99,4-3,27,Home
2005,9,Maryland,99,4-4,27,Away,Florida State,10,7-1,35,Home
2005,9,Purdue,99,2-6,15,Away,Penn State,11,8-1,33,Home
2005,9,Ohio State,12,6-2,45,Away,Minnesota,99,5-3,31,Home
2005,9,Wisconsin,15,8-1,41,Away,Illinois,99,2-6,24,Home
2005,9,Texas Tech,17,7-1,28,Away,Baylor,99,4-4,0,Home
2005,9,Ole Miss,99,3-5,3,Away,Auburn,19,6-2,27,Home
2005,9,TCU,20,8-1,23,Away,San Diego State,99,3-6,20,Home
2005,9,Michigan,25,6-3,33,Away,Northwestern,21,5-3,17,Home
2005,9,Fresno State,22,6-1,27,Away,Hawaii,99,3-5,13,Home
2005,9,South Carolina,99,5-3,16,Away,Tennessee,23,3-4,15,Home
