Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2009,1,Oregon,16,0-1,8,Away,Boise State,14,1-0,19,Home
2009,1,Utah State,99,0-1,17,Away,Utah,19,1-0,35,Home
2009,1,Charleston Southern,99,0-1,3,Away,Florida,1,1-0,62,Home
2009,1,Louisiana Monroe,99,0-1,20,Away,Texas,2,1-0,59,Home
2009,1,BYU,20,1-0,14,Away,Oklahoma,3,0-1,13,Home
2009,1,San José State,99,0-1,3,Away,USC,4,1-0,56,Home
2009,1,Alabama,5,1-0,34,Away,Virginia Tech,7,0-1,24,Home
2009,1,Navy,99,0-1,27,Away,Ohio State,6,1-0,31,Home
2009,1,Akron,99,0-1,7,Away,Penn State,9,1-0,31,Home
2009,1,Georgia,13,0-1,10,Away,Oklahoma State,9,1-0,24,Home
2009,1,LSU,11,1-0,31,Away,Washington,99,0-1,23,Home
2009,1,Maryland,99,0-1,13,Away,California,12,1-0,52,Home
2009,1,Jacksonville State,99,0-1,17,Away,Georgia Tech,15,1-0,37,Home
2009,1,The Citadel,99,0-1,6,Away,North Carolina,21,1-0,40,Home
2009,1,Northern Iowa,99,0-1,16,Away,Iowa,22,1-0,17,Home
2009,1,Nevada,99,0-1,0,Away,Notre Dame,23,1-0,35,Home
2009,1,Florida Atlantic,99,0-1,3,Away,Nebraska,24,1-0,49,Home
2009,1,Northern Colorado,99,0-1,3,Away,Kansas,25,1-0,49,Home
2009,1,Ole Miss,8,1-0,45,Away,Memphis,99,0-1,14,Home
2009,1,Miami,99,1-0,38,Away,Florida State,18,0-1,34,Home
