Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2005,1,Temple,99,0-1,16,Away,Arizona State,20,1-0,63,Home
2005,1,USC,1,1-0,63,Away,Hawaii,99,0-1,17,Home
2005,1,Louisiana Lafayette,99,0-1,3,Away,Texas,2,1-0,60,Home
2005,1,UAB,99,0-1,10,Away,Tennessee,3,1-0,17,Home
2005,1,Northern Illinois,99,0-1,17,Away,Michigan,4,1-0,33,Home
2005,1,Miami (OH),99,0-1,14,Away,Ohio State,6,1-0,34,Home
2005,1,TCU,99,1-0,17,Away,Oklahoma,7,0-1,10,Home
2005,1,Wyoming,99,0-1,14,Away,Florida,10,1-0,32,Home
2005,1,Ball State,99,0-1,0,Away,Iowa,11,1-0,56,Home
2005,1,Boise State,18,0-1,13,Away,Georgia,13,1-0,48,Home
2005,1,Georgia Tech,99,1-0,23,Away,Auburn,16,0-1,14,Home
2005,1,Texas A&M,17,0-1,24,Away,Clemson,99,1-0,25,Home
2005,1,Sacramento State,99,0-1,3,Away,California,19,1-0,41,Home
2005,1,Boston College,22,1-0,20,Away,BYU,99,0-1,3,Home
2005,1,Notre Dame,99,1-0,42,Away,Pittsburgh,23,0-1,21,Home
2005,1,Western Michigan,99,0-1,19,Away,Virginia,25,1-0,31,Home
2005,1,Virginia Tech,8,1-0,20,Away,NC State,99,0-1,16,Home
2005,1,Louisville,12,1-0,31,Away,Kentucky,99,0-1,24,Home
2005,1,Miami,9,0-1,7,Away,Florida State,14,1-0,10,Home
