Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2012,12,Kansas State,1,10-1,24,Away,Baylor,99,5-5,52,Home
2012,12,Stanford,13,9-2,17,Away,Oregon,2,10-1,14,Home
2012,12,Wake Forest,99,5-6,0,Away,Notre Dame,3,11-0,38,Home
2012,12,Western Carolina,99,1-10,0,Away,Alabama,4,10-1,49,Home
2012,12,Georgia Southern,99,8-3,14,Away,Georgia,5,10-1,45,Home
2012,12,Jacksonville State,99,6-5,0,Away,Florida,6,10-1,23,Home
2012,12,Ole Miss,99,5-6,35,Away,LSU,7,9-2,41,Home
2012,12,Sam Houston State,99,8-3,28,Away,Texas A&M,8,9-2,47,Home
2012,12,Wofford,99,8-3,7,Away,South Carolina,9,9-2,24,Home
2012,12,Florida State,10,10-1,41,Away,Maryland,99,4-7,14,Home
2012,12,NC State,99,6-5,48,Away,Clemson,11,10-1,62,Home
2012,12,Oklahoma,12,8-2,50,Away,West Virginia,99,5-5,49,Home
2012,12,Minnesota,99,6-5,14,Away,Nebraska,14,9-2,38,Home
2012,12,California,99,3-9,14,Away,Oregon State,16,8-2,62,Home
2012,12,USC,18,7-4,28,Away,UCLA,17,9-2,38,Home
2012,12,Utah State,99,9-2,48,Away,Louisiana Tech,20,9-2,41,Home
2012,12,Iowa,99,4-7,17,Away,Michigan,21,8-3,42,Home
2012,12,Rutgers,22,9-1,10,Away,Cincinnati,99,7-3,3,Home
2012,12,Texas Tech,23,7-4,21,Away,Oklahoma State,24,7-3,59,Home
2012,12,Washington,25,7-4,38,Away,Colorado,99,1-10,3,Home
