Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2011,5,South Florida,16,4-1,17,Away,Pittsburgh,99,3-2,44,Home
2011,5,Kentucky,99,2-3,7,Away,LSU,1,5-0,35,Home
2011,5,Ball State,99,3-2,6,Away,Oklahoma,2,4-0,62,Home
2011,5,Alabama,3,5-0,38,Away,Florida,12,4-1,10,Home
2011,5,Nevada,99,1-3,10,Away,Boise State,4,4-0,30,Home
2011,5,UCLA,99,2-3,19,Away,Stanford,6,4-0,45,Home
2011,5,Nebraska,8,4-1,17,Away,Wisconsin,7,5-0,48,Home
2011,5,Auburn,99,4-1,16,Away,South Carolina,10,4-1,13,Home
2011,5,Clemson,13,5-0,23,Away,Virginia Tech,11,4-1,3,Home
2011,5,Texas A&M,14,2-2,38,Away,Arkansas,18,4-1,42,Home
2011,5,Baylor,15,3-1,35,Away,Kansas State,99,4-0,36,Home
2011,5,Texas,17,4-0,37,Away,Iowa State,99,3-1,14,Home
2011,5,Minnesota,99,1-4,0,Away,Michigan,19,5-0,58,Home
2011,5,SMU,99,4-1,40,Away,TCU,20,3-2,33,Home
2011,5,Georgia Tech,21,5-0,45,Away,NC State,99,2-3,35,Home
2011,5,Bowling Green,99,3-2,10,Away,West Virginia,22,4-1,55,Home
2011,5,Northwestern,99,2-2,35,Away,Illinois,24,5-0,38,Home
2011,5,Oregon State,99,0-4,20,Away,Arizona State,25,4-1,35,Home
