Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2013,12,Ball State,99,9-2,27,Away,Northern Illinois,15,10-0,48,Home
2013,12,Georgia Tech,99,6-4,31,Away,Clemson,8,9-1,55,Home
2013,12,Washington,99,6-4,31,Away,UCLA,13,8-2,41,Home
2013,12,Alabama,1,10-0,20,Away,Mississippi State,99,4-6,7,Home
2013,12,Syracuse,99,5-5,3,Away,Florida State,2,10-0,59,Home
2013,12,Ohio State,3,10-0,60,Away,Illinois,99,3-7,35,Home
2013,12,Stanford,4,8-2,17,Away,USC,99,8-3,20,Home
2013,12,Texas Tech,99,7-4,34,Away,Baylor,5,9-0,63,Home
2013,12,Utah,99,4-6,21,Away,Oregon,6,9-1,44,Home
2013,12,Georgia,25,6-4,38,Away,Auburn,7,10-1,43,Home
2013,12,Florida,99,4-6,14,Away,South Carolina,10,8-2,19,Home
2013,12,Oklahoma State,12,9-1,38,Away,Texas,24,7-3,13,Home
2013,12,Michigan State,16,9-1,41,Away,Nebraska,99,7-3,28,Home
2013,12,UCF,17,8-1,39,Away,Temple,99,1-9,36,Home
2013,12,Iowa State,99,1-9,10,Away,Oklahoma,18,8-2,48,Home
2013,12,Oregon State,99,6-4,17,Away,Arizona State,19,8-2,30,Home
2013,12,Houston,99,7-3,13,Away,Louisville,20,9-1,20,Home
2013,12,Indiana,99,4-6,3,Away,Wisconsin,22,8-2,51,Home
2013,12,Miami,23,7-3,30,Away,Duke,99,8-2,48,Home
