Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2010,13,Texas A&M,17,9-3,24,Away,Texas,99,5-7,17,Home
2010,13,Arizona,21,7-4,29,Away,Oregon,1,11-0,48,Home
2010,13,Auburn,2,12-0,28,Away,Alabama,11,9-3,27,Home
2010,13,Boise State,4,10-1,31,Away,Nevada,19,11-1,34,Home
2010,13,Colorado,99,5-7,17,Away,Nebraska,15,10-2,45,Home
2010,13,TCU,3,12-0,66,Away,New Mexico,99,1-11,17,Home
2010,13,LSU,5,10-2,23,Away,Arkansas,12,10-2,31,Home
2010,13,Oregon State,99,5-6,0,Away,Stanford,6,11-1,38,Home
2010,13,Northwestern,99,7-5,23,Away,Wisconsin,7,11-1,70,Home
2010,13,Michigan,99,7-5,7,Away,Ohio State,8,11-1,37,Home
2010,13,Oklahoma,13,10-2,47,Away,Oklahoma State,9,10-2,41,Home
2010,13,Michigan State,10,11-1,28,Away,Penn State,99,7-5,22,Home
2010,13,Kansas,99,3-9,7,Away,Missouri,14,10-2,35,Home
2010,13,Virginia,99,4-8,7,Away,Virginia Tech,16,10-2,37,Home
2010,13,South Carolina,18,9-3,29,Away,Clemson,99,6-6,7,Home
2010,13,BYU,99,6-6,16,Away,Utah,20,10-2,17,Home
2010,13,Florida,99,7-5,7,Away,Florida State,22,9-3,31,Home
2010,13,NC State,23,8-4,31,Away,Maryland,99,8-4,38,Home
2010,13,Iowa,24,7-5,24,Away,Minnesota,99,3-9,27,Home
2010,13,Mississippi State,25,8-4,31,Away,Ole Miss,99,4-8,23,Home
