Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2015,1,TCU,2,1-0,23,Away,Minnesota,99,0-1,17,Home
2015,1,Alcorn State,99,0-1,6,Away,Georgia Tech,16,1-0,69,Home
2015,1,Texas San Antonio,99,0-1,32,Away,Arizona,22,1-0,42,Home
2015,1,Baylor,4,1-0,56,Away,SMU,99,0-1,21,Home
2015,1,Michigan State,5,1-0,37,Away,Western Michigan,99,0-1,24,Home
2015,1,Washington,99,0-1,13,Away,Boise State,23,1-0,16,Home
2015,1,Wisconsin,20,0-1,17,Away,Alabama,3,1-0,35,Home
2015,1,Louisville,99,0-1,24,Away,Auburn,6,1-0,31,Home
2015,1,Eastern Washington,99,0-1,42,Away,Oregon,7,1-0,61,Home
2015,1,Arkansas State,99,0-1,6,Away,USC,8,1-0,55,Home
2015,1,Louisiana Monroe,99,0-1,14,Away,Georgia,9,1-0,51,Home
2015,1,Texas State,99,0-1,16,Away,Florida State,10,1-0,59,Home
2015,1,Texas,99,0-1,3,Away,Notre Dame,11,1-0,38,Home
2015,1,Wofford,99,0-1,10,Away,Clemson,12,1-0,49,Home
2015,1,Virginia,99,0-1,16,Away,UCLA,13,1-0,34,Home
2015,1,Arizona State,15,0-1,17,Away,Texas A&M,99,1-0,38,Home
2015,1,Tennessee-Martin,99,0-1,3,Away,Ole Miss,17,1-0,76,Home
2015,1,UTEP,99,0-1,13,Away,Arkansas,18,1-0,48,Home
2015,1,Akron,99,0-1,3,Away,Oklahoma,19,1-0,41,Home
2015,1,Stanford,21,0-1,6,Away,Northwestern,99,1-0,16,Home
2015,1,Southeast Missouri State,99,0-1,3,Away,Missouri,24,1-0,34,Home
2015,1,Bowling Green,99,0-1,30,Away,Tennessee,25,1-0,59,Home
2015,1,Ohio State,1,1-0,42,Away,Virginia Tech,99,0-1,24,Home
