Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2002,8,Virginia Tech,4,6-0,28,Away,Boston College,99,3-2,23,Home
2002,8,Florida State,9,5-2,27,Away,Miami,1,6-0,28,Home
2002,8,Texas,3,5-1,24,Away,Oklahoma,2,6-0,35,Home
2002,8,San José State,99,4-3,7,Away,Ohio State,5,7-0,50,Home
2002,8,Tennessee,10,4-2,13,Away,Georgia,6,6-0,18,Home
2002,8,Oregon,7,6-0,31,Away,UCLA,99,4-2,30,Home
2002,8,Pittsburgh,99,5-2,6,Away,Notre Dame,8,6-0,14,Home
2002,8,Texas Tech,99,4-3,17,Away,Iowa State,11,6-1,31,Home
2002,8,Washington State,12,6-1,36,Away,Stanford,99,1-4,11,Home
2002,8,Penn State,15,4-2,24,Away,Michigan,13,5-1,27,Home
2002,8,NC State,14,7-0,34,Away,North Carolina,99,2-4,17,Home
2002,8,LSU,18,5-1,36,Away,Florida,16,4-3,7,Home
2002,8,Michigan State,99,3-3,16,Away,Iowa,17,6-1,44,Home
2002,8,Oklahoma State,99,2-4,9,Away,Kansas State,19,5-1,44,Home
2002,8,California,99,4-3,28,Away,USC,20,4-2,30,Home
2002,8,BYU,99,3-3,9,Away,Air Force,21,6-0,52,Home
2002,8,Arizona,99,3-3,28,Away,Washington,22,4-2,32,Home
2002,8,Wisconsin,23,5-2,29,Away,Indiana,99,3-3,32,Home
2002,8,Arkansas,99,3-2,38,Away,Auburn,24,4-2,17,Home
2002,8,Arkansas State,99,4-4,17,Away,Ole Miss,25,5-1,52,Home
