Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2006,13,Boston College,18,9-3,14,Away,Miami,99,6-6,17,Home
2006,13,LSU,9,10-2,31,Away,Arkansas,5,10-2,26,Home
2006,13,Texas A&M,99,9-3,12,Away,Texas,11,9-3,7,Home
2006,13,Colorado,99,2-10,14,Away,Nebraska,23,9-3,37,Home
2006,13,Notre Dame,6,10-2,24,Away,USC,3,10-1,44,Home
2006,13,Florida,4,11-1,21,Away,Florida State,99,6-6,14,Home
2006,13,South Florida,99,8-4,24,Away,West Virginia,7,9-2,19,Home
2006,13,Louisville,8,10-1,48,Away,Pittsburgh,99,6-6,24,Home
2006,13,Boise State,12,12-0,38,Away,Nevada,99,8-4,7,Home
2006,13,Oklahoma,13,10-2,27,Away,Oklahoma State,99,6-6,21,Home
2006,13,Syracuse,99,4-8,7,Away,Rutgers,15,10-1,38,Home
2006,13,Georgia Tech,16,9-3,12,Away,Georgia,99,8-4,15,Home
2006,13,Virginia,99,5-7,0,Away,Virginia Tech,17,10-2,17,Home
2006,13,Kentucky,99,7-5,12,Away,Tennessee,19,9-3,17,Home
2006,13,Wake Forest,20,10-2,38,Away,Maryland,99,8-4,24,Home
2006,13,BYU,21,10-2,33,Away,Utah,99,7-5,31,Home
2006,13,South Carolina,99,7-5,31,Away,Clemson,24,8-4,28,Home
2006,13,Purdue,99,8-5,35,Away,Hawaii,25,10-2,42,Home
