Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2005,12,Fresno State,16,8-2,42,Away,USC,1,11-0,50,Home
2005,12,Georgia Tech,99,7-3,14,Away,Miami,3,8-2,10,Home
2005,12,LSU,4,9-1,40,Away,Ole Miss,99,3-7,7,Home
2005,12,Penn State,5,10-1,31,Away,Michigan State,99,5-6,22,Home
2005,12,Syracuse,99,1-9,10,Away,Notre Dame,6,8-2,34,Home
2005,12,Virginia Tech,7,9-1,52,Away,Virginia,99,6-4,14,Home
2005,12,Alabama,8,9-2,18,Away,Auburn,11,9-2,28,Home
2005,12,Ohio State,9,9-2,25,Away,Michigan,17,7-4,21,Home
2005,12,Oregon State,99,5-6,14,Away,Oregon,10,10-1,56,Home
2005,12,Kentucky,99,3-7,13,Away,Georgia,14,8-2,45,Home
2005,12,Clemson,99,7-4,13,Away,South Carolina,19,7-4,9,Home
2005,12,Oklahoma,99,6-4,21,Away,Texas Tech,21,9-2,23,Home
2005,12,Boston College,23,8-3,31,Away,Maryland,99,5-5,16,Home
2005,12,UAB,99,5-5,35,Away,UTEP,24,8-2,23,Home
