Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2006,5,Auburn,2,5-0,24,Away,South Carolina,99,3-2,17,Home
2006,5,BYU,99,3-2,31,Away,TCU,17,3-1,17,Home
2006,5,Rutgers,23,5-0,22,Away,South Florida,99,3-2,20,Home
2006,5,Ohio State,1,5-0,38,Away,Iowa,13,4-1,17,Home
2006,5,USC,3,4-0,28,Away,Washington State,99,3-2,22,Home
2006,5,Alabama,99,3-2,13,Away,Florida,5,5-0,28,Home
2006,5,Michigan,6,5-0,28,Away,Minnesota,99,2-3,14,Home
2006,5,Sam Houston State,99,2-2,3,Away,Texas,7,4-1,56,Home
2006,5,Mississippi State,99,1-4,17,Away,LSU,9,4-1,48,Home
2006,5,Georgia,10,5-0,14,Away,Ole Miss,99,1-4,9,Home
2006,5,Georgia Tech,24,4-1,38,Away,Virginia Tech,11,4-1,27,Home
2006,5,Purdue,99,4-1,21,Away,Notre Dame,12,4-1,35,Home
2006,5,Oregon,14,4-0,48,Away,Arizona State,99,3-2,13,Home
2006,5,Tennessee,15,4-1,41,Away,Memphis,99,1-3,7,Home
2006,5,Louisiana Tech,99,1-3,0,Away,Clemson,18,4-1,51,Home
2006,5,California,20,4-1,41,Away,Oregon State,99,2-2,13,Home
2006,5,Kansas,99,3-2,32,Away,Nebraska,21,4-1,39,Home
2006,5,Boise State,22,5-0,36,Away,Utah,99,3-2,3,Home
2006,5,Colorado,99,0-5,13,Away,Missouri,25,5-0,28,Home
