Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2007,3,West Virginia,4,3-0,31,Away,Maryland,99,2-1,14,Home
2007,3,USC,1,2-0,49,Away,Nebraska,14,2-1,31,Home
2007,3,Middle Tennessee,99,0-3,0,Away,LSU,2,3-0,44,Home
2007,3,Utah State,99,0-3,3,Away,Oklahoma,3,3-0,54,Home
2007,3,Tennessee,22,1-2,20,Away,Florida,5,3-0,59,Home
2007,3,Texas,6,3-0,35,Away,UCF,99,1-1,32,Home
2007,3,The Citadel,99,2-1,31,Away,Wisconsin,7,3-0,45,Home
2007,3,Louisiana Tech,99,1-2,12,Away,California,8,3-0,42,Home
2007,3,Louisville,9,2-1,34,Away,Kentucky,99,3-0,40,Home
2007,3,Ohio State,10,3-0,33,Away,Washington,99,2-1,14,Home
2007,3,UCLA,11,2-1,6,Away,Utah,99,1-2,44,Home
2007,3,Buffalo,99,1-2,24,Away,Penn State,12,3-0,45,Home
2007,3,Norfolk State,99,1-1,0,Away,Rutgers,13,3-0,59,Home
2007,3,Boston College,21,3-0,24,Away,Georgia Tech,15,2-1,10,Home
2007,3,Arkansas,16,1-1,38,Away,Alabama,99,3-0,41,Home
2007,3,South Carolina State,99,1-2,3,Away,South Carolina,17,3-0,38,Home
2007,3,Ohio,99,2-1,7,Away,Virginia Tech,18,2-1,28,Home
2007,3,Fresno State,99,1-2,21,Away,Oregon,19,3-0,52,Home
2007,3,Furman,99,1-2,10,Away,Clemson,20,3-0,38,Home
2007,3,Western Carolina,99,0-3,16,Away,Georgia,23,2-1,45,Home
2007,3,Hawaii,24,3-0,49,Away,UNLV,99,1-2,14,Home
2007,3,Louisiana Monroe,99,0-3,14,Away,Texas A&M,25,3-0,54,Home
