Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2013,14,Western Michigan,99,1-11,14,Away,Northern Illinois,14,12-0,33,Home
2013,14,Oregon State,99,6-6,35,Away,Oregon,13,10-2,36,Home
2013,14,Fresno State,16,10-1,52,Away,San José State,99,6-6,62,Home
2013,14,Arkansas,99,3-9,27,Away,LSU,17,9-3,31,Home
2013,14,South Florida,99,2-9,20,Away,UCF,19,10-1,23,Home
2013,14,Alabama,1,11-1,28,Away,Auburn,4,11-1,34,Home
2013,14,Florida State,2,12-0,37,Away,Florida,99,4-8,7,Home
2013,14,Ohio State,3,12-0,42,Away,Michigan,99,7-5,41,Home
2013,14,Texas A&M,21,8-4,21,Away,Missouri,5,11-1,28,Home
2013,14,Clemson,6,10-2,17,Away,South Carolina,10,10-2,31,Home
2013,14,Notre Dame,25,8-4,20,Away,Stanford,8,10-2,27,Home
2013,14,Baylor,9,10-1,41,Away,TCU,99,4-8,38,Home
2013,14,Minnesota,99,8-4,3,Away,Michigan State,11,11-1,14,Home
2013,14,Arizona,99,7-5,21,Away,Arizona State,12,10-2,58,Home
2013,14,Penn State,99,7-5,31,Away,Wisconsin,15,9-3,24,Home
2013,14,UCLA,22,9-3,35,Away,USC,23,9-4,14,Home
2013,14,Duke,24,10-2,27,Away,North Carolina,99,6-6,25,Home
