Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2011,6,California,99,3-2,15,Away,Oregon,9,4-1,43,Home
2011,6,Boise State,5,5-0,57,Away,Fresno State,99,2-4,7,Home
2011,6,Florida,17,4-2,11,Away,LSU,1,6-0,41,Home
2011,6,Vanderbilt,99,3-2,0,Away,Alabama,2,6-0,34,Home
2011,6,Oklahoma,3,5-0,55,Away,Texas,11,4-1,17,Home
2011,6,Kansas,99,2-3,28,Away,Oklahoma State,6,5-0,70,Home
2011,6,Colorado,99,1-5,7,Away,Stanford,7,5-0,48,Home
2011,6,Boston College,99,1-5,14,Away,Clemson,8,6-0,36,Home
2011,6,Auburn,15,4-2,14,Away,Arkansas,10,5-1,38,Home
2011,6,Michigan,12,6-0,42,Away,Northwestern,99,2-3,24,Home
2011,6,Maryland,99,2-3,16,Away,Georgia Tech,13,6-0,21,Home
2011,6,Ohio State,99,3-3,27,Away,Nebraska,14,5-1,34,Home
2011,6,Connecticut,99,2-4,16,Away,West Virginia,16,5-1,43,Home
2011,6,Kentucky,99,2-4,3,Away,South Carolina,18,5-1,54,Home
2011,6,Illinois,19,6-0,41,Away,Indiana,99,1-5,20,Home
2011,6,Missouri,99,2-3,17,Away,Kansas State,20,5-0,24,Home
2011,6,Miami,99,2-3,35,Away,Virginia Tech,21,5-1,38,Home
2011,6,Arizona State,22,5-1,35,Away,Utah,99,2-3,14,Home
2011,6,Florida State,23,2-3,30,Away,Wake Forest,99,4-1,35,Home
2011,6,Texas A&M,24,3-2,45,Away,Texas Tech,99,4-1,40,Home
2011,6,Iowa State,99,3-2,26,Away,Baylor,25,4-1,49,Home
