Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2008,5,USC,1,2-1,21,Away,Oregon State,99,2-2,27,Home
2008,5,TCU,24,4-1,10,Away,Oklahoma,2,4-0,35,Home
2008,5,Alabama,8,5-0,41,Away,Georgia,3,4-1,30,Home
2008,5,Ole Miss,99,3-2,31,Away,Florida,4,3-1,30,Home
2008,5,Mississippi State,99,1-4,24,Away,LSU,5,4-0,34,Home
2008,5,Arkansas,99,2-2,10,Away,Texas,7,4-0,52,Home
2008,5,Wisconsin,9,3-1,25,Away,Michigan,99,2-2,27,Home
2008,5,Illinois,22,2-2,24,Away,Penn State,12,5-0,38,Home
2008,5,South Florida,13,5-0,41,Away,NC State,99,2-3,10,Home
2008,5,Minnesota,99,4-1,21,Away,Ohio State,14,4-1,34,Home
2008,5,Tennessee,99,1-3,12,Away,Auburn,15,4-1,14,Home
2008,5,Navy,99,3-2,24,Away,Wake Forest,16,3-1,17,Home
2008,5,Weber State,99,3-2,21,Away,Utah,17,5-0,37,Home
2008,5,Maryland,99,4-1,20,Away,Clemson,20,3-2,17,Home
2008,5,Houston,99,2-3,41,Away,East Carolina,23,3-2,24,Home
2008,5,Fresno State,25,3-1,36,Away,UCLA,99,1-3,31,Home
