Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2008,8,BYU,9,6-1,7,Away,TCU,99,7-1,32,Home
2008,8,Hawaii,99,3-4,7,Away,Boise State,15,6-0,27,Home
2008,8,Missouri,11,5-2,31,Away,Texas,1,7-0,56,Home
2008,8,Ole Miss,99,3-4,20,Away,Alabama,2,7-0,24,Home
2008,8,Michigan,99,2-5,17,Away,Penn State,3,8-0,46,Home
2008,8,Kansas,16,5-2,31,Away,Oklahoma,4,6-1,45,Home
2008,8,USC,6,5-1,69,Away,Washington State,99,1-7,0,Home
2008,8,Texas Tech,7,7-0,43,Away,Texas A&M,99,2-5,25,Home
2008,8,Baylor,99,3-4,6,Away,Oklahoma State,8,7-0,34,Home
2008,8,Vanderbilt,22,5-2,14,Away,Georgia,10,6-1,24,Home
2008,8,Ohio State,12,7-1,45,Away,Michigan State,20,6-2,7,Home
2008,8,LSU,13,5-1,24,Away,South Carolina,99,5-3,17,Home
2008,8,Colorado State,99,3-4,16,Away,Utah,14,8-0,49,Home
2008,8,Virginia Tech,17,5-2,23,Away,Boston College,99,5-1,28,Home
2008,8,North Carolina,18,5-2,13,Away,Virginia,99,4-3,16,Home
2008,8,Syracuse,99,1-6,13,Away,South Florida,19,6-1,45,Home
2008,8,Wake Forest,21,4-2,0,Away,Maryland,99,5-2,26,Home
2008,8,Pittsburgh,23,5-1,42,Away,Navy,99,4-3,21,Home
2008,8,California,25,4-2,27,Away,Arizona,99,5-2,42,Home
