Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2008,6,Louisiana Tech,99,2-2,3,Away,Boise State,17,4-0,38,Home
2008,6,Pittsburgh,99,4-1,26,Away,South Florida,10,5-1,21,Home
2008,6,Oregon State,99,2-3,28,Away,Utah,15,6-0,31,Home
2008,6,BYU,8,5-0,34,Away,Utah State,99,1-4,14,Home
2008,6,Oklahoma,1,5-0,49,Away,Baylor,99,2-3,17,Home
2008,6,Kentucky,99,4-1,14,Away,Alabama,2,6-0,17,Home
2008,6,Missouri,4,5-0,52,Away,Nebraska,99,3-2,17,Home
2008,6,Texas,5,5-0,38,Away,Colorado,99,3-2,14,Home
2008,6,Penn State,6,6-0,20,Away,Purdue,99,2-3,6,Home
2008,6,Texas Tech,7,5-0,58,Away,Kansas State,99,3-2,28,Home
2008,6,Oregon,23,4-2,10,Away,USC,9,3-1,44,Home
2008,6,Florida,12,4-1,38,Away,Arkansas,99,2-3,7,Home
2008,6,Auburn,13,4-2,13,Away,Vanderbilt,19,5-0,14,Home
2008,6,Ohio State,14,5-1,20,Away,Wisconsin,18,3-2,17,Home
2008,6,Kansas,16,4-1,35,Away,Iowa State,99,2-3,33,Home
2008,6,Western Kentucky,99,2-4,13,Away,Virginia Tech,20,5-1,27,Home
2008,6,Texas A&M,99,2-3,28,Away,Oklahoma State,21,5-0,56,Home
2008,6,Hawaii,99,2-3,32,Away,Fresno State,22,3-2,29,Home
2008,6,Connecticut,24,5-1,12,Away,North Carolina,99,4-1,38,Home
