Year,Week,Team1,Team1Rank,Team1Record,Team1Score,Team1Home,Team2,Team2Rank,Team2Record,Team2Score,Team2Home
2014,3,Houston,99,1-2,25,Away,BYU,25,3-0,33,Home
2014,3,Baylor,8,3-0,63,Away,Buffalo,99,1-2,21,Home
2014,3,Wyoming,99,2-1,14,Away,Oregon,2,3-0,48,Home
2014,3,Southern Mississippi,99,1-2,12,Away,Alabama,3,3-0,52,Home
2014,3,Tennessee,99,2-1,10,Away,Oklahoma,4,3-0,34,Home
2014,3,Georgia,6,1-1,35,Away,South Carolina,24,2-1,38,Home
2014,3,Rice,99,0-2,10,Away,Texas A&M,7,3-0,38,Home
2014,3,USC,9,2-1,31,Away,Boston College,99,2-1,37,Home
2014,3,Louisiana Monroe,99,2-1,0,Away,LSU,10,3-0,31,Home
2014,3,Purdue,99,1-2,14,Away,Notre Dame,11,3-0,30,Home
2014,3,UCLA,12,3-0,20,Away,Texas,99,1-2,17,Home
2014,3,Louisiana Lafayette,99,1-2,15,Away,Ole Miss,14,3-0,56,Home
2014,3,Army,99,1-1,0,Away,Stanford,15,2-1,35,Home
2014,3,Arizona State,16,3-0,38,Away,Colorado,99,1-2,24,Home
2014,3,East Carolina,99,2-1,28,Away,Virginia Tech,17,2-1,21,Home
2014,3,UCF,99,0-2,10,Away,Missouri,20,3-0,38,Home
2014,3,Louisville,21,2-1,21,Away,Virginia,99,2-1,23,Home
2014,3,Kent State,99,0-3,0,Away,Ohio State,22,2-1,66,Home
