Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2012,1,22,2,2,0,0,0,0,2
2012,2,24,0,4,4,1,8.25,4,6
2012,3,21,3,5,4,1,11.25,8,11
2012,4,19,4,5,2,2,6.0,10,16
2012,5,16,2,3,1,0,4.0,11,19
2012,6,18,5,9,6,1,14.666666666666666,17,28
2012,7,18,4,5,2,0,18.5,19,33
2012,8,21,4,6,2,0,13.5,21,39
2012,9,19,4,10,7,2,6.571428571428571,28,49
2012,10,18,5,8,5,4,18.6,33,57
2012,11,22,3,6,5,2,8.4,38,63
2012,12,20,3,5,4,2,19.0,42,68
2012,13,18,5,11,7,4,8.0,49,79
2012,14,10,4,6,3,1,17.666666666666668,52,85
2012,15,1,0,0,0,0,0,52,85
2012,16,0,0,0,0,0,0,52,85
