Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2005,1,19,2,6,5,3,8.2,5,6
2005,2,17,3,5,3,1,12.666666666666666,8,11
2005,3,20,3,6,4,1,8.0,12,17
2005,4,18,4,7,4,1,11.0,16,24
2005,5,19,3,7,5,1,16.0,21,31
2005,6,17,4,7,6,3,6.166666666666667,27,38
2005,7,18,5,9,5,2,3.2,32,47
2005,8,18,3,5,2,1,18.5,34,52
2005,9,18,3,4,3,2,7.0,37,56
2005,10,20,3,6,4,2,16.25,41,62
2005,11,20,3,9,8,3,9.25,49,71
2005,12,14,3,6,4,3,7.5,53,77
2005,13,11,2,3,1,0,3.0,54,80
2005,14,7,3,4,3,2,12.333333333333334,57,84
2005,15,0,0,0,0,0,0,57,84
2005,16,0,0,0,0,0,0,57,84
