Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2010,1,22,3,4,2,1,4.5,2,4
2010,2,20,4,6,3,1,6.333333333333333,5,10
2010,3,23,1,2,2,0,12.5,7,12
2010,4,21,4,5,2,1,15.0,9,17
2010,5,15,5,7,3,2,7.333333333333333,12,24
2010,6,19,4,5,3,2,14.666666666666666,15,29
2010,7,21,2,8,7,2,5.0,22,37
2010,8,19,4,7,5,3,7.2,27,44
2010,9,19,2,4,4,0,13.5,31,48
2010,10,18,5,9,5,1,5.4,36,57
2010,11,21,3,6,4,2,13.5,40,63
2010,12,17,4,4,1,0,3.0,41,67
2010,13,20,5,7,5,1,5.4,46,74
2010,14,9,3,5,2,1,3.0,48,79
2010,15,1,0,0,0,0,0,48,79
2010,16,0,0,0,0,0,0,48,79
