Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2003,1,0,0,0,0,0,0,0,0
2003,2,0,0,0,0,0,0,0,0
2003,3,23,1,5,4,1,13.25,4,5
2003,4,18,3,7,4,4,13.75,8,12
2003,5,0,0,0,0,0,0,8,12
2003,6,20,1,4,4,1,18.25,12,16
2003,7,18,2,6,5,1,9.4,17,22
2003,8,17,5,11,8,4,7.375,25,33
2003,9,0,0,0,0,0,0,25,33
2003,10,19,3,7,6,1,16.333333333333332,31,40
2003,11,16,6,6,4,1,14.5,35,46
2003,12,16,5,8,6,1,10.666666666666666,41,54
2003,13,22,2,6,5,1,24.4,46,60
2003,14,19,2,5,4,1,10.25,50,65
2003,15,14,2,3,1,0,14.0,51,68
2003,16,5,3,3,1,1,28.0,52,71
