Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2008,1,23,2,5,4,2,10.5,4,5
2008,2,21,0,2,2,0,14.0,6,7
2008,3,18,3,5,3,1,4.666666666666667,9,12
2008,4,19,2,5,3,1,4.666666666666667,12,17
2008,5,16,3,9,7,5,6.714285714285714,19,26
2008,6,19,3,6,4,2,8.75,23,32
2008,7,18,3,5,5,3,10.2,28,37
2008,8,19,4,9,5,0,14.8,33,46
2008,9,20,4,8,4,2,8.25,37,54
2008,10,19,2,8,8,3,13.5,45,62
2008,11,19,6,9,3,1,4.666666666666667,48,71
2008,12,19,1,5,4,1,14.0,52,76
2008,13,14,4,8,5,3,29.0,57,84
2008,14,14,4,5,3,3,11.0,60,89
2008,15,7,3,4,3,0,15.666666666666666,63,93
2008,16,0,0,0,0,0,0,63,93
