Year,Week,Games,RankedGames,RankedLosses,Upsets,HomeUpsets,UpsetMargin,CumulativeUpsets,CumulativeRankedLosses
2004,1,1,0,0,0,0,0,0,0
2004,2,20,0,0,0,0,0,0,0
2004,3,23,1,6,6,3,9.666666666666666,6,6
2004,4,18,3,4,3,0,13.333333333333334,9,10
2004,5,19,0,0,0,0,0,9,10
2004,6,20,2,5,3,0,6.333333333333333,12,15
2004,7,0,0,0,0,0,0,12,15
2004,8,19,5,8,6,2,22.666666666666668,18,23
2004,9,23,1,3,3,2,3.3333333333333335,21,26
2004,10,19,2,7,5,0,3.8,26,33
2004,11,18,2,5,3,3,13.0,29,38
2004,12,20,3,5,4,3,16.75,33,43
2004,13,16,1,3,3,1,15.333333333333334,36,46
2004,14,0,0,0,0,0,0,36,46
2004,15,7,2,2,1,1,6.0,37,48
2004,16,0,0,0,0,0,0,37,48
